recipient_key	recipient_name	parent_name	candidate_ticker	basis
d08dc12d-6186-9227-958f-53808fe39ca3-C	LINDE GAS & EQUIPMENT INC.	LINDE INC.	LIN	parent-name
d27246e8-024c-7149-d961-1edfd05c2a44-C	ARROW INTERNATIONAL, INC.	TELEFLEX INCORPORATED	TFX	parent-name
d91f6bf5-043f-8df8-fd93-90cc71696bd3-C	SPX AIDS TO NAVIGATION OY	SPX CORPORATION	SPXC	parent-name
dbce5398-89aa-55e3-1b2c-87d60e4d408b-C	SPTS TECHNOLOGIES, INC.	KLA CORPORATION	KLAC	parent-name
dd77b7c3-663e-cb91-229f-5766a50e9b7f-C	MICROSOFT CORPORATION		MSFT	own-name
dfdd88d1-f7e4-0d70-2383-41a337cfccec-C	HONEYWELL INC		HON	own-name
e249a03f-34e0-6c86-7664-8c8ce35eabaa-C	TCI INTERNATIONAL, INC	SPX CORPORATION	SPXC	parent-name
e88441ce-d65a-7ad0-5edc-e87f7b577770-C	NICE SYSTEMS INC		NICE	own-name
ec369610-bc05-47f5-a28d-ccbfcd09e748-C	MCKESSON MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC	MCKESSON CORPORATION	MCK	parent-name
f461a5c8-6e97-a1b3-b511-ed8c86be3ebf-C	EATON CORPORATION		ETN	own-name
f58d2354-9d87-e9d7-c90c-089c6ba9816f-C	PERATON INC.	ITT CORPORATION	ITT	parent-name
f599f0f7-f59e-fb70-4042-cf41d063621d-C	SONY BIOTECHNOLOGY INC.	SONY GROUP CORPORATION	SONY	parent-name
f79fd35f-2df2-c088-b484-ee4ba8b764c4-C	MESSER LLC	LINDE LLC	LIN	parent-name
f8e92406-63f8-2165-1aa8-cdb4ceeb209f-C	FLUOR FEDERAL SERVICES INC	FLUOR CORPORATION	FLR	parent-name
fb7fd509-5fe8-ec41-aa86-51924720c5be-C	ATMOSPHERE COMMERCIAL INTERIORS, LLC.	TARGET CORPORATION	TGT	parent-name
