recipient_key	recipient_name	parent_name	candidate_ticker	basis
29ab01ce-ef72-15ef-b2db-c229f0c84471-C	3M COMPANY		MMM	own-name
2aaf55ac-5aa8-9213-5b2c-1d42641923c2-C	GITHUB INC	MICROSOFT CORPORATION	MSFT	parent-name
2acfbd75-26c2-0328-d37e-27e90dcef4db-C	RAYTHEON/LOCKHEED MARTIN JAVELIN JV	RTX CORP	RTX	parent-name
2bcc84b1-fc6a-77a3-e418-10abe600fb5f-C	JOHNSON CONTROLS FIRE PROTECTION LP	JOHNSON CONTROLS, INC.	JCI	parent-name
2cd822cf-04c8-0397-8526-d6da8ff340a8-C	THE LEWIN GROUP, INC.	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
2d0fb54c-8c59-b112-8ece-d0db6b5089eb-C	BRANTNER AND ASSOCIATES, INC.	TE CONNECTIVITY LTD.	TEL	parent-name
2daab7a7-91da-74a6-ba82-682ef9da1fc7-C	ROCKWELL AUTOMATION, INC.		ROK	own-name
2e28641b-d8b0-be2b-fb19-a5e8d3e334e6-C	PANJIVA, INC	S&P GLOBAL INC.	SPGI	parent-name
2f611a25-9e07-9d3e-38fe-171ec7f2b2d4-C	OGILVY PUBLIC RELATIONS WORLDWIDE LLC	WPP PLC	WPP	parent-name
30b32b62-ffbf-d7e6-5b9d-95a295b95a6d-C	BOOZ ALLEN HAMILTON INC		BAH	own-name
312704a7-ed93-0b45-333a-f677eee767a5-C	EATON CORPORATION		ETN	own-name
314864f8-c8ed-733f-da40-569a09eaee81-C	REMEL INC.	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
3241605e-a536-94ee-2b38-2c56bca7d9c0-C	AVIS RENT A CAR SYSTEM, LLC	AVIS BUDGET GROUP, INC.	CAR	parent-name
32ddce81-1d28-db0a-9df2-8159ab4a74d0-C	RELX INC.		RELX	own-name
35250199-64c8-5b68-793d-7e575108528b-C	MACOM TECHNOLOGY SOLUTIONS INC.		MTSI	own-name
360760cb-a2ed-6aa4-2d81-a7909557d12c-C	HONEYWELL INTERNATIONAL INC.		HON	own-name
3612de0a-9635-3846-a5a1-7f555fba52df-C	DELL FEDERAL SYSTEMS L.P	DELL TECHNOLOGIES INC.	DELL	parent-name
36f52d4f-90c7-008c-9a20-96960a5cb01f-C	PHYSIO-CONTROL INC	STRYKER CORPORATION	SYK	parent-name
379b0a4a-69bf-aa93-6907-c828ad4635a4-C	CANON FINANCIAL SERVICES, INC.	CANON INC.	CAJPY	parent-name
37abf6db-6e7f-3f1e-1f7d-3285df15154c-C	OPTUM PHARMACY 801, INC.	UNITEDHEALTH GROUP INCORPORATED	UNH	parent-name
385c148c-559c-6218-53ff-80836c64dc4c-C	VECTRUS SYSTEMS LLC	ITT CORPORATION	ITT	parent-name
388ab88d-74c2-54ac-19e4-cb2df60ad520-C	TYSON FOODS INC.		TSN	own-name
38edfb63-f368-e976-7fce-8f100a2f30b9-C	DOMINION PRIVATIZATION VIRGINIA, LLC	DOMINION ENERGY, INC.	D	parent-name
39120e4d-cc1c-07a1-ba75-0d0b10a47b97-C	BOOZ ALLEN HAMILTON INC		BAH	own-name
39eabfb8-e859-05b4-9485-86c17286ba46-C	THERMO SCIENTIFIC PORTABLE ANALYTICAL INSTRUMENTS INC.	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
