recipient_key	recipient_name	parent_name	candidate_ticker	basis
56c8509b-9988-e84a-17fe-52cbe407282f-C	MITCHELL REPAIR INFORMATION CO LLC	SNAP-ON INCORPORATED	SNA	parent-name
58465eb6-2fbe-cf76-0826-be3fa0af837b-C	SIKORSKY SUPPORT SERVICES INC	RTX CORP	RTX	parent-name
5b3db994-356c-dd09-c567-c688e10ac628-C	GOODRICH CORPORATION	RTX CORP	RTX	parent-name
5d3f395a-6b3c-bba7-ee28-21685a44fed4-C	RLJ III - EM WEST PALM BEACH LESSEE, LLC	RLJ LODGING TRUST	RLJ	parent-name
645df5f2-66e3-8d2b-a612-3bff6ed3da30-C	AMAZON WEB SERVICES, INC.	AMAZON.COM, INC.	AMZN	parent-name
681621e2-199c-1489-ce07-823b2d82bf16-C	GOODRICH CORPORATION	RTX CORP	RTX	parent-name
6920a0c2-36ca-bd03-b598-32666c18626a-C	SPRINT COMMUNICATIONS CO LP	T-MOBILE US, INC.	TMUS	parent-name
6f092509-207f-6c70-3116-f871ddf4fde6-C	SIRCHIE ACQUISITION CO LLC	RAYMOND JAMES FINANCIAL  INC.	RJF	parent-name
6f82dd8b-4c28-12ab-8d02-6e7f207dad8b-C	BRANTNER AND ASSOCIATES, INC.	TE CONNECTIVITY LTD.	TEL	parent-name
707d6ba0-1a69-315e-5c43-ed322b2029ed-C	YOUNG & RUBICAM LLC	WPP PLC	WPP	parent-name
71b54b3f-92e0-d636-616b-6bff5be7d76e-C	NUVASIVE CLINICAL SERVICES MONITORING, INC.	GLOBUS MEDICAL, INC.	GMED	parent-name
7261cb38-689d-0370-e6db-897eb1e5aa32-C	AURIS HEALTH, INC	JOHNSON & JOHNSON	JNJ	parent-name
72cdcd20-1c98-67b4-b744-6c119c53377a-C	FLOWERS BAKING CO OF DENTON, LLC	FLOWERS FOODS INC	FLO	parent-name
73e4ede0-fada-8100-d103-da8154e69dd3-C	B9 SELECT RESI VA OWNER LLC	RYMAN HOSPITALITY PROPERTIES, INC.	RHP	parent-name
784eb51b-b1af-f697-80e4-06385f31b860-C	CEB INC.	GARTNER, INC.	IT	parent-name
7a954f30-eada-36b9-2b45-2db412908b7a-C	SIKORSKY AIRCRAFT CORPORATION	RTX CORP	RTX	parent-name
84655a23-e9d4-3888-de97-8d9f8550c9f2-C	ENCORE MEDICAL, L.P.	BLACKSTONE INC.	BX	parent-name
895ae7a7-a463-07eb-91e9-7f9ad1b958da-C	FELCOR UNION SQUARE LESSEE, LLC	RLJ LODGING TRUST	RLJ	parent-name
8cac1796-b994-6d54-94d4-00cd00e4a075-C	ABBOTT RAPID DX NORTH AMERICA LLC	ABBOTT LABORATORIES	ABT	parent-name
8ccdac14-ed77-83af-da40-58f2073e887e-C	PERSONNEL DECISIONS RESEARCH INSTITUTES, LLC	GARTNER, INC.	IT	parent-name
8ff89796-7e33-ce57-e468-ec4d4448b866-C	RSA SECURITY LLC	DELL TECHNOLOGIES INC.	DELL	parent-name
90e456fc-97f0-9098-9e66-36975f0f3770-C	L. L. ROWE COMPANY	TE CONNECTIVITY LTD.	TEL	parent-name
91b0761f-a2de-b7fd-1e40-b8988212371d-C	MARRIOTT INTERNATIONAL, INC.	RYMAN HOSPITALITY PROPERTIES, INC.	RHP	parent-name
925ebbdb-01c8-326b-4110-acb8fd5a7414-C	MEARS GROUP INC	QUANTA SERVICES, INC.	PWR	parent-name
92758004-9797-9b84-aca3-932d2c0322e5-C	COINBASE INC	COINBASE GLOBAL  INC	COIN	parent-name
928e25a1-e379-d2e2-3294-32c9d3159947-C	CARRIER ENTERPRISE, LLC	WATSCO, INC.	WSO	parent-name
9499aa66-87aa-0f1a-10f0-a581034359c9-C	GRIMES AEROSPACE COMPANY	HONEYWELL INTERNATIONAL INC.	HON	parent-name
9598a33d-4e64-adda-a1b0-34603409a4cd-C	ACCLARENT, INC	JOHNSON & JOHNSON	JNJ	parent-name
96c5fa29-f046-fa3e-3112-e548ee6a526f-C	SOLAR TURBINES INCORPORATED	CATERPILLAR INC.	CAT	parent-name
98183ce7-7fa7-ff61-3b5e-060fc0a294e2-C	FISHER SCIENTIFIC COMPANY L.L.C.	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
99ca957e-94d5-66a2-9d4a-8ff0601e794d-C	AVAGO TECHNOLOGIES US INC	BROADCOM INC.	AVGO	parent-name
9b96a5e8-7aa6-15db-84f2-0c3878e4aaba-C	CITIBANK, N.A.	CITIGROUP INC.	C	parent-name
9dc269de-4b2d-9035-9d39-749ff3661031-C	GEIGER INTERNATIONAL INC	MILLERKNOLL INC	MLKN	parent-name
a0ef059e-42bf-0e69-637c-270e7f0fe556-C	SAP NATIONAL SECURITY SERVICES INC	SAP SE	SAP	parent-name
a2854240-44c7-519b-4914-020b2317a659-C	ALERE SAN DIEGO, INC.	ABBOTT LABORATORIES	ABT	parent-name
a4aa9eb2-0b4e-544d-d1c3-a838749a60ed-C	CLARIS INTERNATIONAL INC.	APPLE INC.	AAPL	parent-name
a4c28996-484c-cf28-76b4-8e46e982c93e-C	ROCKWELL COLLINS, INC.	RTX CORP	RTX	parent-name
a62fa63a-9b78-b4be-b33d-eb009a40a77c-C	PUBLIC SERVICE COMPANY OF COLORADO	XCEL ENERGY INC.	XEL	parent-name
a8e3de84-2045-6b38-2f7d-1470d3efdc95-C	MICROGENICS CORPORATION	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
abe97812-085d-1dad-04d8-0e90d2ca0f1a-C	CAREMARK RX, L.L.C.	CVS HEALTH CORPORATION	CVS	parent-name
ac0b9590-0ad8-0854-a7ed-8474dc0b203b-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
afdcb1d9-116b-6676-344c-3c7deb8ecf76-C	MEDICAL SPECIALTIES INC	HCA HEALTHCARE, INC.	HCA	parent-name
b08f8773-1e62-248a-d212-05bf5257410e-C	LEXISNEXIS RISK SOLUTIONS INC	RELX PLC	RELX	parent-name
b20b122a-596c-14ad-0033-6e5bc41f4768-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
b51a086e-6081-49cc-6565-c7341fdfd56e-C	SEATTLE UNION STREET ASSOCIATES	RYMAN HOSPITALITY PROPERTIES, INC.	RHP	parent-name
b638e162-f732-50b3-c5b9-9fe1086d041a-C	GALLATIN RIVER COMMUNICATIONS, L.L.C.	LUMEN TECHNOLOGIES, INC	LUMN	parent-name
b6b091bb-570b-bf26-3e7a-b4a1a7c2d61a-C	RAYTHEON COMPANY	RTX CORP	RTX	parent-name
b706783c-a759-4f66-8953-20fda4bd1acc-C	THERMO EBERLINE LLC	THERMO FISHER SCIENTIFIC INC.	TMO	parent-name
b8a507ef-0ba0-e553-27ac-c0d5823b7bd2-C	IAN EVAN & ALEXANDER CORP	BOOZ ALLEN HAMILTON HOLDING CORPORATION	BAH	parent-name
